URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context (5),Context (6),Context (7),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Catalogued by,Excavated by,Metal,Metal Description,Culture,References,Date Catalogued,Diameter,Date Excavated,Year Excavated,Sequence #
"http://opencontext.org/subjects/3BF833F1-DD4A-419D-21BA-506907413F28","http://n2t.net/ark:/28722/k2542qm5g","Coin 01-C-15","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Propylaeum","Trench 80","Locus 1","Seq. 80185","","http://opencontext.org/subjects/6F8EEB8C-7AB7-411F-394E-EBCADE01C64C","30.3287","35.4421","-200","360","Coin","2009-10-26T00:00:00Z","2017-02-13T03:05:59Z","Martha Sharp Joukowsky","Emily Catherine Egan","AE","Bronze","Phoenician","Remarkable for bevelled edge.","6/25/2009","16.5-to-14 mm","","2001","80185"
"http://opencontext.org/subjects/FD786EB8-5EB8-498C-352D-9F12E322D7D8","http://n2t.net/ark:/28722/k2bg2pp11","Coin 00-C-16","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Propylaeum","Trench 69?","Locus Stray find","Seq. 2000-3","","http://opencontext.org/subjects/DDCB0A02-385D-4B43-163F-6A89E6C848FE","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:52:29Z","Martha Sharp Joukowsky","Steven J. Larson","AE2","Bronze, 21-25mm","Late Roman","Heavily corroded. (Important for Petra minted little before 363 CE.).","6/25/2009","18 mm by 15 mm","","2000",""
"http://opencontext.org/subjects/528E77C1-16ED-4876-C8C8-A866F31BD8E1","http://n2t.net/ark:/28722/k2280b99h","Coin 98-C-161","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 57","Locus 13","Seq. 57350","","http://opencontext.org/subjects/4757F721-B9C8-483B-39E7-B75E23FED39B","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:52:15Z","Deirdre Barrett","Emma Susan Libonati; Mary Prendergast","AE","Bronze","Late Roman","Theodosius I, II or III? AES IV.
RIC IX, Cyzicus type 26 b (p. 246) dated to 28 August 388- 15 May 392 CE, or   30 a (p. 247) dated to 15 May 392- 17 January 395 CE.","6/25/2009","1.28 cm","","1998","57350"
"http://opencontext.org/subjects/5585F5EC-FE9C-487C-5A13-4E277746069D","http://n2t.net/ark:/28722/k2m907f3g","Coin 06-C-15","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 122","Locus 5","Seq. 122014","","http://opencontext.org/subjects/D6F24F53-0802-4E9A-D3D8-D991518359C9","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-11T01:53:48Z","Deirdre Barrett","Arta Khakpour; Martha Sharp Joukowsky","AE","Bronze","Late Roman","RIC X, p. 248 (Arcadius no. 91 or 92) from the Eastern Empire (Nicomedia).
Because the obverse legend is...","6/25/2009","","","2006","122014"
"http://opencontext.org/subjects/3246554E-92FA-4515-EFD1-DA2D6CF9E308","http://n2t.net/ark:/28722/k24f1sw4t","Coin 01-C-18","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 79","Locus 1","Seq. 79025","","http://opencontext.org/subjects/2B63CC06-2B93-43AF-E9CC-36762C4AC08E","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:52:05Z","Martha Sharp Joukowsky","","AE4","Bronze, less than 17mm","Late Roman","RBC 2, No. 2807 (Antioch), or No. 2921 (Alexandria).","6/25/2009","10 mm","","2001","79025"
"http://opencontext.org/subjects/DAE4A8C4-1562-4749-0C0A-C0DC489DBDB1","http://n2t.net/ark:/28722/k21n83z9n","Coin 00-C-18","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 71","Locus 17","Seq. 71510","","http://opencontext.org/subjects/18634D93-A69E-4135-DB59-49BF2834B857","30.3287","35.4421","-200","360","Coin","2009-10-26T00:00:00Z","2017-02-13T03:07:06Z","Martha Sharp Joukowsky","Martha Sharp Joukowsky","AE","Bronze","Jewish","Poor condition.","6/25/2009","14-by-12 mm","","2000","71510"
"http://opencontext.org/subjects/86511BD0-3E07-402B-BC00-5E43DBC90050","http://n2t.net/ark:/28722/k2cv4j380","Coin 97-C-21","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 47","Locus 4","Seq. 47074","","http://opencontext.org/subjects/6826A919-FEAC-4657-9CFD-CE7A2031EB25","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:51:12Z","Deirdre Barrett","Benjamin H. Kleine; Leigh-Ann Bedal","AE","Bronze","Late Roman","AE 3 small.   Constantius II 351 - 361 CE.  (354 -361 CE?).","6/25/2009","1.58 cm","","1997","47074"
"http://opencontext.org/subjects/3A92F4B5-E587-4F98-CBA0-8C2E7C7EA297","http://n2t.net/ark:/28722/k2765gs96","Coin 95-C-44","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 15","Locus 101","Seq. 15250","","http://opencontext.org/subjects/B8BBE325-4D62-4EF0-BA94-1ABC8BDC9B15","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:51:19Z","KM","Lamya Khalidi; ATH","AE","Bronze","Late Roman","Constantine, Alexandria, beginning of reign, between 312 and 324CE.
RIC VII, Alexandria type 13 (p. 705), but...","6/25/2009","1.9 cm","","1995","15250"
"http://opencontext.org/subjects/25C7E88B-79F1-4647-2B07-19D5B685E940","http://n2t.net/ark:/28722/k2t43qf3j","Coin 94-C-16","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 9","Locus 13","Seq. 9064","","http://opencontext.org/subjects/28B16949-C2E1-4165-8432-600DB61F264B","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-14T01:52:35Z","KM","Leigh-Ann Bedal","AE","Bronze","Late Roman","cf. Late Roman Bronze Coinage II, Nr. 2207.

RIC IX, Constantinopolis type 57 f (p. 228), dated to 378-383 CE, AES III.","6/25/2009","1.2 cm","","1994","9064"
"http://opencontext.org/subjects/06DB04E7-B18B-4799-8CC0-CB697B69C428","http://n2t.net/ark:/28722/k26d5vp57","Coin 94-C-13","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 9","Locus 13","Seq. 9058","","http://opencontext.org/subjects/4E07470D-5A7F-44A3-7CFA-73BC4FBAEDC6","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T23:05:39Z","KM","Gyles Austin","AE","Bronze","Late Roman","Late Roman AE 3, Thessalonica, Valens Gloria Romanorum (8) type:  period 364-367 cf. Late Roman Bronze...","6/25/2009","1.6 cm","","1994","9058"
"http://opencontext.org/subjects/17F5966B-80BF-4A45-0194-0C0D8C573DF1","http://n2t.net/ark:/28722/k23n25s26","Coin 94-C-6","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 9","Locus 11","Seq. 9051","","http://opencontext.org/subjects/AF617531-112E-4BD0-8FD1-AFADEC35A330","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:06:43Z","KM","Gyles Austin","AE","Bronze","Late Roman","Perhaps Honorius?  Late Roman AE 4. 
cf. Late Roman Bronze Coinage II Nr. 2807?","6/25/2009","1.15 cm   AE 4","","1994","9051"
"http://opencontext.org/subjects/64DC2853-8587-48C5-ED56-8354526D538E","http://n2t.net/ark:/28722/k2v98540c","Coin 96-C-31","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 22","Locus 16","Seq. 22102","","http://opencontext.org/subjects/69553622-9766-4719-C971-87567820ED80","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:51:30Z","Deirdre Barrett","Leigh-Ann Bedal","AE","Bronze","Late Roman","AE 3 of Constantius II, Mint - probably Antioch.   Period 351-354 or 354-361, LRBC 2632 or 2635.
Probably RIC...","6/25/2009","1.65 cm","","1996","22102"
"http://opencontext.org/subjects/F623C364-2A01-48CD-A29E-02702C90045B","http://n2t.net/ark:/28722/k2x063q79","Coin 94-C-22","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 9","Locus 13","Seq. 9070","","http://opencontext.org/subjects/8F7A4267-64D2-40D6-32DF-A8E70AB143AB","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:52:43Z","KM","Leigh-Ann Bedal","AE","Bronze","Late Roman","cf. Late Roman Bronze Coinage II, Nr. 2804.","6/25/2009","1.2 cm   AE 3 (small)","","1994","9070"
"http://opencontext.org/subjects/C58D9A72-8238-4069-9A83-0896FC22B701","http://n2t.net/ark:/28722/k2h994r3r","Coin 06-C-32","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 126","Locus 1","Seq. 126067","","http://opencontext.org/subjects/FD4EEB5F-1197-4CB3-0CFD-092224107785","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:06:57Z","Deirdre Barrett","Christopher A. Tuttle","AE","Bronze","Late Roman","RIC VII Alexandria 59 (p. 711).
A small follis.","6/25/2009","","","2006","126067"
"http://opencontext.org/subjects/990373BC-971C-49BA-D8E5-4BA245313C5D","http://n2t.net/ark:/28722/k2tt4n51f","Coin 06-C-20","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 127","Locus 21","Seq. 127448","","http://opencontext.org/subjects/3D09CA80-F84E-4B47-F7DB-0DE57A2C3C6E","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:52:21Z","Deirdre Barrett","Martha Sharp Joukowsky","AE","Bronze","Late Roman","RIC VIII p. 485 (Nicomedia #129) or 501 (Cyzicus #132).
Both coins have the same date of minting (27 June 363 to 16 February 364 CE).","6/25/2009","","","2006","127448"
"http://opencontext.org/subjects/642C5F1E-9342-486A-D1C8-8C4DF8CAED4C","http://n2t.net/ark:/28722/k2n58jz3w","Coin 05-C-44","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 102-3","Locus 1","Seq. 103058","","http://opencontext.org/subjects/52EF1774-A120-4CF2-6DE1-71847414B68C","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:52:55Z","Deirdre Barrett","Martha Sharp Joukowsky","AE","Bronze","Late Roman","Coin is quite worn and difficult to read, but based on the probable reverse image, is likely a small 4th or...","6/25/2009","","","2005","103058"
"http://opencontext.org/subjects/17604E97-7688-41EC-1C7A-0925A36C307C","http://n2t.net/ark:/28722/k2d21xw7m","Coin 95-C-37","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 16","Locus 13","Seq. 16131","","http://opencontext.org/subjects/C31C59B7-3461-4505-5831-10842BAEC5E7","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:07:09Z","KM","Joseph J. Basile","AE","Bronze","Late Roman","AE 4, Arcadius, Antioch, period:  383-392 Ce:  LRBC 2771.","6/25/2009","1.40 cm","","1995","16131"
"http://opencontext.org/subjects/B78D2F83-2969-4D0A-32E4-56196E2A9087","http://n2t.net/ark:/28722/k2988803z","Coin 95-C-27","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 16","Locus 9","Seq. 16113","","http://opencontext.org/subjects/3E0611E5-5130-4EC2-8AF1-0BEDD48F1706","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:52:24Z","KM","John Rucker","AE","Bronze","Late Roman","AE 4 Arcadius, Antioch, 383-392 = LRBC 2771.","6/25/2009","1.0 cm","","1995","16113"
"http://opencontext.org/subjects/16717FC7-FFEA-4C5C-653D-C8417A28742D","http://n2t.net/ark:/28722/k2h994r47","Coin 01-C-16","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Propylaeum","Trench 80","Locus 2","Seq. 80153","","http://opencontext.org/subjects/341B09D7-58E9-4A6F-87AE-5A6A658ABDE1","30.3287","35.4421","-200","360","Coin","2009-10-26T00:00:00Z","2017-02-13T19:51:10Z","Martha Sharp Joukowsky","Darrryl B. Sneag","AR","Silver","","Waage, Antioch Coins No. 1302.
RIC V part 2, Antioch #322 (p. 256), struck 293-295 CE.","6/25/2009","22-to-20 mm","","2001","80153"
"http://opencontext.org/subjects/2FD72E70-31C6-496B-6BC5-F7760D466234","http://n2t.net/ark:/28722/k2b56kh0g","Coin 94-C-12","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 9","Locus 13","Seq. 9059","","http://opencontext.org/subjects/0E695514-F891-48FF-D440-5375AE17FE4B","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:06:41Z","KM","Gyles Austin","AE","Bronze","Late Roman","Late Roman AE 4, end of 4th (or beginning of 5th) c. CE.   Probably Salus         Reipublicae (2) type, Victory and captive, 383-395 CE.","6/25/2009","1.12 cm AE 4","","1994","9059"
"http://opencontext.org/subjects/CBC1B61B-4A86-41C2-1B86-018235BFC4E3","http://n2t.net/ark:/28722/k2zw1g45n","Coin 94-C-8","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 9","Locus 11","Seq. 9053","","http://opencontext.org/subjects/8960C926-9C11-46DA-1CEF-38505B2880DB","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T19:52:41Z","KM","Gyles Austin","AE","Bronze","Late Roman","Probably late Roman AE 3, Valentinian dynasty ca. 364-375 (Gloria Romanorum type:  Valentinian I, Valens, Gratianus) or 378-383 (Concordia Auggg, Roma):  Gratianus - Theodo...","6/25/2009","1.3 cm","","1994","9053"
"http://opencontext.org/subjects/D3CC113C-4FA4-45E0-814B-81661AFAE7DD","http://n2t.net/ark:/28722/k21v5hr7w","Coin 94-C-28","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Upper Temenos","Trench 5","Locus 53","Seq. 5302","","http://opencontext.org/subjects/1FC6C3BA-2B84-49E0-90BE-4C8DFB9B3F18","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:07:57Z","KM","Alexandra Retzleff","AE","Bronze","Late Roman?","Probably late Roman coin (AE 4?), late 4th c. CE.    It could be a Salus              Reipublicae AE 4...","6/25/2009","1.0 cm   AE 4?","","1994","5302"
"http://opencontext.org/subjects/6A48C92B-E9DB-4CA0-1F9E-2F3ECEFC1C7C","http://n2t.net/ark:/28722/k2pv6hk11","Coin 06-C-90","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Lower Temenos","Trench 121","Locus 3","Seq. 121035","","http://opencontext.org/subjects/7648F974-F322-4D3D-C417-E457AE2FD4AA","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:10:15Z","Deirdre Barrett","Arta Khakpour","AE","Bronze","Late Roman","A slight variation of two coins in RIC VII.
See RIC VII Antioch #s54, 56.
The mint-mark shown here ends in a","6/25/2009","","","2006","121035"
"http://opencontext.org/subjects/6D9196C9-8FC8-4CD5-C303-529A116F0677","http://n2t.net/ark:/28722/k25d8ts4h","Coin 94-C-21","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 9","Locus 13","Seq. 9069","","http://opencontext.org/subjects/D5FE0526-0387-428F-264D-CE75D70295A9","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:06:39Z","KM","Leigh-Ann Bedal","AE","Bronze","Late Roman?","Illegible, perhaps a Late Roman AE 4 (end of 4th c. - beginning of 5th c. CE)?","6/25/2009","1.2 cm AE 4?","","1994","9069"
"http://opencontext.org/subjects/ED8C635F-3557-4238-57F7-FB777E1909DB","http://n2t.net/ark:/28722/k22n54v9w","Coin 94-C-15","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Temple","Trench 9","Locus 13","Seq. 9063","","http://opencontext.org/subjects/43C795E9-E0F7-4576-9393-9555F63603F6","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-13T03:06:41Z","KM","Leigh-Ann Bedal","AE","Bronze","Late Roman","Probably a Late Roman AE 4, perhaps Salus Reipublicae type (ca. 383-395 CE).","6/25/2009","AE4 or small AE 3","","1994","9063"
"http://opencontext.org/subjects/BA7B670F-CABA-423A-9901-6E888DC73821","http://n2t.net/ark:/28722/k2cf9qj94","Coin 04-C-11","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Propylaeum","Trench 99","Locus 1","Seq. 99144","","http://opencontext.org/subjects/F5373C15-77D9-4E1B-97AA-BAF1CB606463","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-14T03:22:54Z","Deirdre Barrett","Joseph J. Basile","AE","Bronze","Late Roman","Regular circumference, flat, thin, with iregular border.  Corroded.
Late Roman.  Constantius II, 341-346 CE (aes).  LRBC I, 1401.","6/25/2009","","","2004","99144"
"http://opencontext.org/subjects/90251ADE-1DE0-402E-6A19-5C84FBF27890","http://n2t.net/ark:/28722/k2g73dg4p","Coin 01-C-14","Petra Great Temple Excavations","http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857","Jordan","Petra Great Temple","Propylaeum","Trench 82","Locus ?","Seq. 82012","","http://opencontext.org/subjects/82C2BB74-E962-4851-78BE-EFAEF3674B9A","30.3287","35.4421","200","350","Coin","2009-10-26T00:00:00Z","2017-02-12T14:05:35Z","Martha Sharp Joukowsky","Joseph J. Basile","AE4","Bronze, less than 17mm","Late Roman","","6/25/2009","12 mm","","2001","82012"
